id,model,capacity,barcode,brand,year_model,created_at,updated_at
01KZRTCK095E2CVG41T421GQYC,Swing-up Freezer,12cu,WV8KE0OJYT,Haier,2011,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09KZW2JGK46PGZ43AJ,Sliding Glass Freezer,9cu,8S3QQ7GS46,Haier,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09YANX38HKZ05FDPDX,Swing-up Freezer,12cu,RWV1QD94W7,Hiron,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09N28SN4TXVBTK37H7,Curved Glass Lighted Freezer,15cu,LMVL7GK7FK,Haier,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09P69F7X0H2QFPSCFJ,Curved Glass Freezer,8cu,HLZAPCJPG0,Liebherr,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09NXX0SQ8MVWKRQ2TP,Sliding Glass Freezer,8cu,E5RPEHC9CS,Liebherr,2002,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK099NW5TVP0ERBTBB19,Swing-up Freezer,24cu,AHWLY8DUV1,Hiron,2014,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09KQGQMP082VDRRAR8,Curved Glass Freezer,9cu,P4QQ039HR5,Hiron,2016,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0958Y4RPBARSF8JCZK,Swing-up Freezer,8cu,5SAOVJCHJ7,Aucma,2011,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09PDNGHBTJJF4R0NJ4,Curved Glass Freezer,12cu,U9BB96BWG1,Liebherr,2011,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09QBPR07WB59CHSBZG,Swing-up Freezer,24cu,GXGTAPHN5H,Hiron,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09JS6Y5MB2Z5QZCKYA,Curved Glass Freezer,9cu,NN1AUS8PMB,Aucma,2006,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK090THH65VT7Z8XH6DP,Curved Glass Freezer,24cu,618762WD8U,Aucma,2017,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09272R3821QNVX1EB3,Curved Glass Lighted Freezer,8cu,LR241UJXTX,Hiron,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09JACE1FPKA3FQAN12,Swing-up Freezer,24cu,ZXF29H8M1Q,Aucma,2001,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09X089VKFK4JRYAFKB,Swing-up Freezer,18cu,5I54PNUKUO,Aucma,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09DFHY18RR9DDYD0GW,Curved Glass Freezer,9cu,LJ98GNUR2T,Aucma,2014,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09MV1Y5NEZ6VXE3HS1,Sliding Glass Freezer,18cu,TW3A1NAHK3,Liebherr,2007,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0993J5VEXTBNE4Z534,Swing-up Freezer,18cu,K4Y84LNPDC,Haier,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09FTB94N3B91KZSWVS,Sliding Glass Freezer,9cu,MP4Z8YHUNH,Haier,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09120R65VRXTWMSER8,Curved Glass Freezer,24cu,4B263R9AJ8,Liebherr,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK099B0099THJ98J1W58,Curved Glass Lighted Freezer,8cu,239SQNSJ3Y,Hiron,2006,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09ESDK10APXQA6PMR6,Curved Glass Freezer,8cu,V4S8WRFED0,Hiron,2020,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09PTGJ9XA595QG0EJW,Swing-up Freezer,15cu,WKYSPWY6OC,Haier,2019,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09CSDJXX74G09YYKYK,Curved Glass Lighted Freezer,18cu,MPT97VBGIG,Hiron,2016,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09DVQ11DPESS3G96XC,Curved Glass Lighted Freezer,8cu,RN0TZM6A1M,Aucma,2006,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09V0GG20RV7JJKWFAW,Curved Glass Freezer,12cu,PITC668MNI,Hiron,2023,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09B1F9VMA2FWC9NXY7,Swing-up Freezer,24cu,HD7I24QCJY,Haier,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09S4T78A3JFJBR11YV,Sliding Glass Freezer,18cu,N7G20UBTN3,Haier,2013,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09SWTGDN4JYRJJWQDM,Curved Glass Freezer,18cu,ECJF1CS57C,Hiron,2000,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09HTV962C5XJ5P4B7F,Swing-up Freezer,12cu,0V5NN7YK15,Liebherr,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09W26XFV3SB29T7ZQF,Sliding Glass Freezer,9cu,M51EJYCLV6,Haier,2020,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09PJAFN0927Z11SSXG,Sliding Glass Freezer,18cu,QDKKH1V050,Hiron,2000,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK097C9WCP8ND0B4NGVK,Curved Glass Freezer,8cu,30NNHE96PU,Hiron,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK098XKPA9MXX71PFAA5,Curved Glass Lighted Freezer,12cu,70R1DC92GP,Aucma,2024,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09BZWGKTVZH0NRF6QC,Curved Glass Freezer,8cu,25WBTKODKS,Liebherr,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09GKMZVRVFDCJGQG9M,Swing-up Freezer,18cu,AOTGSQBVYS,Aucma,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09KPV8751VDTXKCZPY,Swing-up Freezer,15cu,YSKYEME7H9,Aucma,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09B4B8ZDEP9N1TJ43D,Curved Glass Lighted Freezer,12cu,98VN1RE2I9,Hiron,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09XJEHGWY9GNR4Q0NK,Sliding Glass Freezer,15cu,ORIJ0TEGTJ,Hiron,2002,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK092AZXZRGKDPE4HGER,Swing-up Freezer,24cu,NR6A4TBEJZ,Liebherr,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09YD8FP0DW9951YF5D,Swing-up Freezer,12cu,N01R50ZVLR,Liebherr,2009,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09NQD189K5YHFM08SS,Curved Glass Freezer,15cu,9GT0E0L372,Haier,2002,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09SXCXMP4WFX26Y7FV,Swing-up Freezer,24cu,FYR31QYSGR,Aucma,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK090M9T8VDSN5ZE0M6N,Swing-up Freezer,12cu,NFEMWRNQG4,Hiron,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK092D27845B2R53S7NE,Sliding Glass Freezer,18cu,ECATQRMB8L,Liebherr,2015,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0949Q4AVEKC6VEB528,Curved Glass Freezer,15cu,PMBZNH9R5G,Aucma,2026,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09GWGS3XWKG77MW7RD,Curved Glass Freezer,8cu,D1NVNUDKU4,Haier,2009,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09PCCNS10DCCW33HEX,Curved Glass Freezer,18cu,Z2C59CQ1F4,Hiron,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09X9P4EEX8HTCE1ZVR,Curved Glass Lighted Freezer,12cu,S2O5N653SF,Aucma,2026,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09CC9D4YWRK031HMQM,Curved Glass Lighted Freezer,12cu,RHQ2HV8C3Q,Haier,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09FRNJ6SF51CYWK16N,Sliding Glass Freezer,9cu,BAS9KVTIDN,Hiron,2014,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK092BEYMXEF98F8WW13,Curved Glass Lighted Freezer,24cu,QHUES6AAG6,Haier,2019,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09RN2ZJN8C382NNETD,Sliding Glass Freezer,8cu,D3LCXKTCR2,Hiron,2013,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09DG7WYYS3NQ763QHR,Curved Glass Lighted Freezer,24cu,JE65BG8ZWB,Haier,2001,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09A0SPMMGH0T5XABG2,Swing-up Freezer,24cu,0ST6D864Y6,Aucma,2002,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK097J2R68CKDHCDW0EF,Swing-up Freezer,12cu,PX35HIQMYQ,Haier,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0951G3HTJP47FXJXFY,Swing-up Freezer,18cu,LP27JSIDKD,Aucma,2023,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09M8RMXFQ5DZHSVB83,Sliding Glass Freezer,24cu,124708GFBD,Aucma,2016,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0936VNBN2VQ3XQ74GW,Curved Glass Freezer,24cu,B5FPDHQOCF,Liebherr,2020,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09J6NBVPNAPXC8BF1S,Curved Glass Lighted Freezer,12cu,HANG7E9JHS,Aucma,2022,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09VCZA0D7KN8EWXTHA,Sliding Glass Freezer,15cu,AZW96HT6X6,Haier,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09ZFZWNHN6JXMS3BVZ,Sliding Glass Freezer,9cu,A7IBJJMDZN,Haier,2020,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09SZM4HBJZCMC70ZAV,Curved Glass Freezer,8cu,GNKUI1SKAK,Hiron,2020,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09WCHWFNMTMFT4BKF2,Swing-up Freezer,8cu,4U8CUACN8Z,Hiron,2026,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09Z8X8J17D7WY4W33V,Swing-up Freezer,8cu,673D8AXGSC,Aucma,2024,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09RV414EJ452P52H7F,Curved Glass Lighted Freezer,24cu,MX09Z20TC7,Haier,2024,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09G490J66BKE2WW0GB,Swing-up Freezer,12cu,XXEIFXLI6N,Liebherr,2026,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09KP95J0HGJ7QMS53Z,Curved Glass Freezer,8cu,DQ880NFH56,Haier,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09Q47Z3XVKJYFYBFG0,Curved Glass Freezer,9cu,1OW7NC79ZW,Hiron,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK092PTGW6DD6AMH2NNH,Swing-up Freezer,15cu,Q7N2SGQN2A,Haier,2019,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09VYJVM4QS2Z2GF8TB,Sliding Glass Freezer,12cu,ZIY7VYTV5U,Haier,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09RWN2G3CHP3CK1R1D,Swing-up Freezer,12cu,6IAOS8A21D,Haier,2007,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0970ATMKDKCQ11WBAJ,Swing-up Freezer,15cu,1K7IHFAEJT,Aucma,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0911GARH2CJAD5GV7C,Swing-up Freezer,8cu,XMWARUFRX8,Liebherr,2026,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09RQH9MK8ZM5P1G0FN,Swing-up Freezer,9cu,88LL1JVT1L,Liebherr,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09XJDC0Y807HCN4YDR,Curved Glass Lighted Freezer,18cu,49NOCUATGD,Hiron,2006,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09TQE3V0WK5G6T795W,Curved Glass Freezer,9cu,JYPGP7NUKV,Haier,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09N500KPV966JF8CXZ,Sliding Glass Freezer,18cu,4XLZGELYD2,Liebherr,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09THP8KMY713KEC42C,Curved Glass Freezer,15cu,WZRSJY343V,Haier,2016,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09ANXYNGZC4GX394GE,Swing-up Freezer,8cu,AJX3GSOE31,Aucma,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09K81SFRN9F1HS7ASC,Curved Glass Lighted Freezer,24cu,KL72CM06DI,Haier,2016,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09R71BWMYRDP03Z4WA,Curved Glass Freezer,9cu,TOBH18VGUV,Aucma,2013,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09QQHM55S0M0BD3F9Z,Curved Glass Freezer,24cu,H8MWPNOK0A,Liebherr,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09B34GZGK8BGS6MFTV,Curved Glass Freezer,24cu,O85E2JLQ0W,Aucma,2012,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09F5WAJBTQXD3AN8YM,Curved Glass Lighted Freezer,15cu,TKMT4RYCWI,Hiron,2022,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09FCZFVJG6A9CCM6MD,Curved Glass Lighted Freezer,24cu,W29XJOGKE7,Liebherr,2006,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0995J34ZRYKARPMN2P,Curved Glass Lighted Freezer,8cu,JDISLXXDEH,Haier,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09537T8MCF6MWS0BQ8,Swing-up Freezer,12cu,8S6VTF8CV6,Haier,2012,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09KQXRJX39Q7C116D0,Sliding Glass Freezer,12cu,UOMAFHGP5K,Haier,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09C0ES6VKDBSA0SD68,Curved Glass Freezer,8cu,ARLY8FCEF8,Haier,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09S2DCCC2KG5EJK0DT,Curved Glass Freezer,8cu,FGCH8D8TPD,Haier,2006,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK09D4XSVNGDB7GS82S2,Swing-up Freezer,24cu,0AU1IL5WNC,Haier,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AS8CYHG8HQET13XNF,Sliding Glass Freezer,15cu,UMNX8X9ZQ5,Haier,2016,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AFKCNN2HB0S2HPCZD,Curved Glass Freezer,12cu,8ZNI388HM4,Haier,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A0B9VC5TCTB34V0BD,Swing-up Freezer,15cu,YKI7VWY6N7,Aucma,2006,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AM9KAN4F4Z4XREFC0,Curved Glass Freezer,18cu,LC7PAE3XQ7,Haier,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A2GAMZ6827SZ9F4VT,Swing-up Freezer,15cu,I0WYUVM1A2,Liebherr,2026,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A5A19YR2QFN41Y1MB,Curved Glass Lighted Freezer,8cu,359K815417,Haier,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A45DEX0ZMSYNJMXTQ,Sliding Glass Freezer,12cu,PF5HDAZKWR,Liebherr,2020,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AE163T5YBBYMGHTD7,Curved Glass Freezer,18cu,0P1M4GXQSA,Hiron,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AQBBSRG3B0RT20FGP,Curved Glass Freezer,18cu,VYMT2UPLR1,Haier,2009,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AW4NE5924A9Z5H61Z,Swing-up Freezer,15cu,3FIMSULA1J,Liebherr,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AWMN8PYJJBDQ9Z9Z4,Swing-up Freezer,15cu,EIIJ0J22TL,Hiron,2000,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A26ZZPQHP26K7HEYT,Sliding Glass Freezer,8cu,UHCRH12FY1,Haier,2011,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AD3VX3A1NC6ASQQGS,Curved Glass Freezer,8cu,KEKCM3PSKG,Liebherr,2016,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A8NCXKK4QMM1KKEBC,Swing-up Freezer,9cu,9RHQ056SFB,Aucma,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AKCWBHDYCJ592BJSH,Curved Glass Lighted Freezer,12cu,H99TYKRGCR,Hiron,2017,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A4CE4JZF284J4FNMN,Swing-up Freezer,12cu,A80W9AQSSG,Hiron,2007,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0ACNJTZE1VTCWJ08D8,Swing-up Freezer,15cu,N8250YXTCD,Aucma,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AJFH5G0BKZFAB4A3B,Curved Glass Lighted Freezer,24cu,3HEOYOP7T6,Haier,2026,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A3KJGBGWMS8Y0S0K6,Curved Glass Lighted Freezer,18cu,B0SX3EMJI9,Hiron,2020,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AMRD2G02TPVDBAND7,Curved Glass Lighted Freezer,9cu,QDNSKAIBLS,Aucma,2026,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AJCD56FVTPX8C30Z8,Curved Glass Lighted Freezer,12cu,PMPYYIOCCU,Aucma,2024,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A6W62GJ61D2A25CDW,Sliding Glass Freezer,24cu,BJX3GC361J,Liebherr,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A1TMHYNW0SDYF5SBV,Sliding Glass Freezer,9cu,M16XKIJCED,Liebherr,2024,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AZQ145806DSRY8046,Curved Glass Freezer,24cu,PEWBCP628R,Hiron,2025,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A9MFPWFT4D315R1E8,Sliding Glass Freezer,9cu,OBPS6XZ18B,Aucma,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AHE7R4TBTG4DS31WP,Curved Glass Lighted Freezer,15cu,703GTB7IKT,Hiron,2011,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AFRE6PEDGHZG9MHG8,Curved Glass Freezer,15cu,YIOKQDNMSE,Aucma,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A58J183VG1307AN14,Curved Glass Freezer,12cu,33SLGTNUOC,Haier,2006,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A5A1C4JMXBVEA2A9J,Curved Glass Freezer,12cu,SE5QNIAQY8,Liebherr,2015,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AKDWYJ55NDGVWWMWE,Curved Glass Freezer,9cu,ONLJ924P9M,Liebherr,2004,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AG5BJQNAC0933K8XY,Swing-up Freezer,12cu,HZX8ZA8WSN,Aucma,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AJ6TTHR7HEP32ZGH0,Sliding Glass Freezer,8cu,HZG7UWXSHY,Aucma,2020,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AZ6G5HWDM1EAVY676,Sliding Glass Freezer,15cu,ZHTJPXVNB4,Hiron,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A1YB90KJTXR57ZBDW,Sliding Glass Freezer,15cu,EJU0XF9WLT,Aucma,2003,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A965VAJ697MPPCVTA,Curved Glass Freezer,8cu,46QM2GQCBX,Liebherr,2022,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AMJG52PJ9WRPXYT1M,Curved Glass Freezer,8cu,UIG93EAN3M,Haier,2021,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AGQ9TSBFTYFSE2KE7,Sliding Glass Freezer,18cu,GMRH01T4D9,Liebherr,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0ATGC3J5FEW45KHA7K,Curved Glass Lighted Freezer,12cu,LPEC7A0UYM,Haier,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A98RV6P096PGK1T2A,Sliding Glass Freezer,9cu,NMVL27FPQ6,Liebherr,2023,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AVMFDG6WFY9QHJGHT,Curved Glass Freezer,9cu,QF4AP7R1IE,Hiron,2022,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A5PQHJ8705PR0P8WT,Curved Glass Freezer,9cu,VS9PDGAD8B,Liebherr,2007,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0ACQ29M1KDTXDG5PN3,Curved Glass Freezer,24cu,09YFBI5EXH,Aucma,2016,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0ABFSM9A21G1474V33,Curved Glass Lighted Freezer,9cu,GAVW4LMGVF,Liebherr,2015,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AFSPM3ZVZ2P1NTHG0,Sliding Glass Freezer,18cu,JN5Z3WLC4O,Hiron,2015,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A3RDCRAH3Q0AB02K1,Swing-up Freezer,9cu,PS6RSX0EEG,Aucma,2001,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AGM1TKTDNM2Z0BSE0,Curved Glass Lighted Freezer,24cu,F1BFYEA7VJ,Aucma,2008,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AGPW66XDJ6QG0TY1V,Curved Glass Lighted Freezer,8cu,VQ8SDC1AQS,Haier,2019,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0ATZEF3NZGEMKF8JHQ,Swing-up Freezer,24cu,TX3UE1VF6U,Haier,2010,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0ARZQVGR60WYV53PTZ,Curved Glass Freezer,24cu,MT36T3WE1T,Liebherr,2026,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0A44Y2YARYW3522FAB,Curved Glass Freezer,8cu,DRWWNE40BJ,Hiron,2015,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0ANJQVREKV0BCZPGRZ,Curved Glass Lighted Freezer,15cu,FNJXP2OQ7U,Liebherr,2024,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AQ0EXB18SXRHPK45C,Curved Glass Freezer,12cu,EGWP7D0MD1,Haier,2005,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AVP8VPXMGC3W7CZ6Y,Curved Glass Freezer,24cu,14NCM78BNN,Hiron,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
01KZRTCK0AFT2MDNPQXGAGY8S7,Curved Glass Freezer,24cu,M826DM950S,Liebherr,2018,2026-08-23 16:19:34.451561+08,2026-08-23 16:19:34.451561+08
